"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"078011","Amendolara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2785,,
"003002","Ameno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",953,,
"062002","Amorosi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2709,,
"030003","Ampezzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",962,,
"063004","Anacapri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6960,,
"060006","Anagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",21071,,
"067002","Ancarano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1843,,
"079005","Andali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",688,,
"022005","Andalo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1129,,
"014003","Andalo Valtellino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",587,,
"001009","Andezeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2041,,
"009006","Andora","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7327,,
"096002","Andorno Micca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3065,,
"075005","Andrano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4666,,
"001010","Andrate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",492,,
"093001","Andreis","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",247,,
"064003","Andretta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1763,,
"021002","Andriano/Andrian","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1042,,
"017005","Anfo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",464,,
"012003","Angera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5428,,
"051001","Anghiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5484,,
"023003","Angiari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2316,,
"065007","Angri","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",33902,,
"058005","Anguillara Sabazia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",19112,,
"071003","Anzano di Puglia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1169,,
"076004","Anzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1594,,
"058007","Anzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",52335,,
"037001","Anzola dell'Emilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",12370,,
"103002","Anzola d'Ossola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",407,,
"041002","Apecchio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1784,,
"062003","Apice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5504,,
"043002","Apiro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2129,,
"062004","Apollosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2557,,
"013010","Appiano Gentile","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7689,,
"021004","Appiano sulla strada del vino/Eppan an der Weinstraße","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",14889,,
"043003","Appignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4119,,
"044005","Appignano del Tronto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1711,,
"014004","Aprica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1543,,
"008002","Apricale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",590,,
"078012","Aprigliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2591,,
"059001","Aprilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",72859,,
"065008","Aquara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1414,,
"008003","Aquila d'Arroscia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",155,,
"064004","Aquilonia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1576,,
"060007","Aquino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5062,,
"075006","Aradeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",9087,,
"084003","Aragona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",9151,,
"093002","Arba","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1312,,
"095006","Arborea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3849,,
"002006","Arborio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",862,,
"026002","Arcade","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4522,,
"060008","Arce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",5492,,
"016011","Arcene","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4817,,
"042003","Arcevia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4363,,
"053001","Arcidosso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4269,,
"058008","Arcinazzo Romano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1277,,
"012004","Arcisate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",9948,,
"022006","Arco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",17933,,
"023004","Arcole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6307,,
"015007","Arconate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6649,,
"108004","Arcore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",17876,,
"090005","Ardara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",756,,
"095007","Ardauli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",829,,
"058117","Ardea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",48715,,
"014005","Ardenno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3251,,
"080005","Ardore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4881,,
"102002","Arena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1318,,
"018005","Arena Po","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1548,,
"010001","Arenzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",11248,,
"013011","Argegno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",672,,
"004006","Argentera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",74,,
"079007","Argusto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",477,,
"073001","Avetrana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",6436,,
"066006","Avezzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",41500,,
"093004","Aviano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",8897,,
"016015","Aviatico","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",559,,
"001013","Avigliana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",12611,,
"076007","Avigliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",10929,,
"055033","Avigliano Umbro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2428,,
"022007","Avio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4117,,
"007006","Avise","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",306,,
"089002","Avola","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",30667,,
"006010","Avolasca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",261,,
"007007","Ayas","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1393,,
"007008","Aymavilles","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2104,,
"001014","Azeglio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1244,,
"019004","Azzanello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",601,,
"005006","Azzano d'Asti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",382,,
"093005","Azzano Decimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",15562,,
"017008","Azzano Mella","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3370,,
"016016","Azzano San Paolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",7560,,
"012006","Azzate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",4648,,
"012007","Azzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",755,,
"016017","Azzone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",386,,
"103006","Baceno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",888,,
"063006","Bacoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",25844,,
"008006","Badalucco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",1078,,
"021006","Badia/Abtei","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",3525,,
