Anno,Tipo variazione,Codice Regione,Codice Unità territoriale sovracomunale,Codice Comune formato alfanumerico,Denominazione Comune,Codice Regione associato alla variazione,Codice Unità territoriale sovracomunale associato alla variazione,Codice del Comune associato alla variazione o nuovo codice Istat del Comune ,Denominazione Comune associata alla variazione o nuova denominazione,Provvedimento e Documento,Contenuto del provvedimento,Data decorrenza validità amministrativa,Flag_note
1992,AP,1,2,2119,Roppolo,1,96,96054,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2120,Rosazza,1,96,96055,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2124,Sagliano Micca,1,96,96056,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2125,Sala Biellese,1,96,96057,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2129,Salussola,1,96,96058,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2130,Sandigliano,1,96,96059,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2132,San Paolo Cervo,1,96,96060,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2136,Selve Marcone,1,96,96061,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2138,Soprana,1,96,96062,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2139,Sordevolo,1,96,96063,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2140,Sostegno,1,96,96064,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2141,Strona,1,96,96065,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2143,Tavigliano,1,96,96066,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2144,Ternengo,1,96,96067,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2145,Tollegno,1,96,96068,,Decreto Legislativo 6 marzo 1992,,,
1992,AP,1,2,2146,Torrazzo,1,96,96069,,Decreto Legislativo 6 marzo 1992,,,
