Anno;Tipo variazione;Codice Regione;Codice Unità territoriale sovracomunale;Codice Comune formato alfanumerico;Denominazione Comune;Codice Regione associato alla variazione;Codice Unità territoriale sovracomunale associato alla variazione;Codice del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa;Flag_note
1992;AP;01;003;003038;Casale Corte Cerro;01;103;103019;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003046;Cavaglio-Spoccia;01;103;103020;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003048;Ceppo Morelli;01;103;103021;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003050;Cesara;01;103;103022;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003053;Cossogno;01;103;103023;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003054;Craveggia;01;103;103024;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003056;Crevoladossola;01;103;103025;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003057;Crodo;01;103;103026;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003059;Cursolo-Orasso;01;103;103027;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
1992;AP;01;003;003061;Domodossola;01;103;103028;;"Decreto Legislativo 30 aprile 92, n. 277; G.U. n. 106 dell’8 maggio1992";Comune della Provincia di Novara andato a costituire la nuova Provincia di Verbano-Cusio-Ossola;;
